項次,旅館名稱,地址,電話,星級標示,營業衛生檢查資料,其他稽查不合格項目,檢查日期
42,老爺大酒店,臺北市中山區中山北路2段37之1號,02-25423266,五星,符合,符合,107年4月26日
43,西華大飯店,臺北市松山區民生東路3段111號,02-27181188,五星,符合,符合,107年4月25日
44,台北君悅酒店,臺北市信義區松壽路2號,02-27201234,五星,符合,符合,107年4月25日
45,國聯大飯店,臺北市大安區光復南路200號,02-27731515,無,衛生不符合規定（已完成改善）：抽油煙機下方管線不潔,符合,107年4月25日
46,台中金典酒店,臺中市西區健行路1049號,04-23288000,五星,符合,符合,107年3月14日
47,晶悅國際飯店,桃園市大興路269號,03-3255688,四星,符合,符合,2019/12/20
48,知本老爺大酒店,臺東縣卑南鄉溫泉村龍泉路113巷23號,089-510666,五星,衛生管理不符合規定（已完成改善）：1.密閉空間場所應在明顯處張貼告示，以勸阻可能透過空氣或飛沫傳染之消費者入場或請其戴口罩入場。2、計2名員工廚證到期需展延。,符合,2019/11/21
49,娜路彎大酒店,臺東縣臺東市連航路66號,089-239666,五星,衛生管理不符合規定（已完成改善）：1.密閉空間場所應在明顯處張貼告示，以勸阻可能透過空氣或飛沫傳染之消費者入場或請其戴口罩入場。2、天花板部分缺漏、有病媒出沒蹤跡、食材存放未妥善分類、貯存場所需加強清潔、器具部分應汰換。,符合,2019/11/21
50,台東桂田喜來登酒店,臺東縣臺東市正氣路316號,089-328858,無,衛生管理不符合規定（已完成改善）：1.從業人員講習證書未放置場所內備查。2.報廢區應「專區」設置、食品添加物未三專管理、部分食材未妥善覆蓋及分裝食材應清楚標示效期。,消防管理不符合規定（已完成改善）：滅火器、室內消防栓設備、自動撒水設備、泡沫滅火設備、火警自動警報設備、緊急廣播設備、標示設備、避難器具設備、緊急照明設備、連結送水管設備、消防專用蓄水池設備、排煙設備、廚房簡易滅火設備故障及2樓精品中心旁安全門上鎖。,2019/11/21
51,高雄圓山大飯店,高雄市鳥松區圓山路2號,07-3705911,無,符合,經營管理不符合規定（已完成改善）：地下第1層及地上第1、2層部分用途變更未報核准。,2019/11/7
52,高雄國賓大飯店,高雄市前金區民生二路202號,07-2115211,五星,符合,經營管理不符合規定（已完成改善）：地下第1層部分用途變更部分用途變更未報核准。,2019/11/7
53,寒軒國際大飯店,高雄市苓雅區四維三路33號,07-332-2000,無,符合,經營管理不符合規定（已完成改善）：建築樓層第7、9層部分用途變更未報核准。,2019/11/7
54,漢來大飯店,高雄市前金區成功一路266號1樓、2樓、10-13樓、15-19樓、22-42樓,07-2161766,五星,符合,符合,2019/11/6
55,高雄福華大飯店,高雄市新興區七賢一路311號,07-2362323,五星,符合,符合,2019/11/6
56,麗尊大酒店,高雄市苓雅區五福一路105號,07-2295000,無,符合,經營管理不符合規定（已完成改善）：建築樓層第7層部分客房用途變更未報核准。,2019/11/6
57,台北君悅酒店,臺北市信義區松壽路2號,02-27201234,五星,符合,巷,2019/8/14
58,陽明山中國麗緻大飯店,臺北市士林區陽明山格致路237號,02-28616661,無,符合,經營管理不符合規定（已依規定裁處）：營業場所變更未報核准。,2019/8/14
59,台北W飯店,臺北市信義區忠孝東路五段10號,02-77038888,五星,符合,符合,2019/8/14
60,亞都麗緻大飯店,臺北市中山區民權東路2段41號,02-25971234,五星,衛生管理不符合規定（已完成改善）：中央空調冷卻水塔設備未依定半年內清洗。,符合,2019/8/13
61,西華大飯店,臺北市松山區民生東路3段111號,02-27181188,五星,符合,符合,2019/8/13
62,美麗信花園酒店,臺北市中山區市民大道三段83號,02-87728800,五星,衛生管理不符合規定（已完成改善）：1.燈罩油污不潔、內部有病媒出沒。2.一般事務用品及個人用品未與食材有效區隔。3.器具洗滌區餐盤置物櫃擺放碘酒、修正帶。4.食品作業台面上方層櫃不潔。5.牆面破損、砧板未離牆放置。,符合,2019/8/13
63,板橋凱撒大飯店,新北市板橋區縣民大道二段8號,02-89538999,無,符合,經營管理不符合規定（已完成改善）：5樓健身房改作辦公室不符規定。,2019/8/12
64,凱撒大飯店,屏東縣恆春鎮墾丁路6號,08-8861888,無,符合,符合,2019/8/2
65,墾丁福華渡假飯店,屏東縣恆春鎮墾丁路2號,08-8862323,無,2019/6/18,符合,2019/8/2
66,墾丁怡灣渡假酒店,屏東縣恆春鎮恆公路998號,08-8899968,無,符合,職安管理不符合規定（已完成改善）：未依事業類別規模設置職業安全衛生業務主管。,2019/8/2
67,東方渡假酒店,屏東縣東港鎮鵬灣跨海大橋二段1號,08-8338933,無,符合,符合,2019/7/5
68,太魯閣晶英酒店,花蓮縣秀林鄉富世村天祥路18號,03-8691155,五星,符合,一、職安管理不符合規定（已完成改善）：柴油發電機內含柴油儲存容積未標示及未有安全資料表、未更新與勞工共同訂定工作守則及報備。二、泳池管理不符合規定（已完成改善）：水質處理方式及用品（消毒品）名稱未標示、水深標示不夠明顯、沒有拋繩、救生員不可擔任櫃檯工作。,2019/6/18
69,遠雄悅來大飯店,花蓮縣壽豐鄉鹽寮村山嶺18號,03-8123999,五星,,一、職安管理不符合規定（已完成改善）：冷凍、冷藏設備未於明顯處標示警語。二、泳池管理不符合規定（已完成改善）：質處理方式及用品（消毒品）名稱未完整中英文標示、甦醒球過期。,2019/6/18
70,花蓮亞士都飯店,花蓮縣花蓮市民權路6之1號,03-8326111,無,符合,一、職安管理不符合規定（已完成改善）：未做工作守則報備、小型貫流式鍋爐未設有鍋爐證照人員、冷凍、冷藏設備未設有警示標示，且冷凍設備未提供勞工防寒（衣）設備。二、泳池管理不符合規定（已完成改善）：水質標示未明確標示、救生員待聘中，泳池無救生人員、救生器材僅有救生圈，缺長臂板、甦醒球、拋繩、救生竿等相關救生器材。,2019/6/17
71,美侖大飯店,花蓮縣花蓮市美崙區林園1之1號,03-8222111,五星,符合,一、職安管理不符合規定（已完成改善）：冷凍、冷藏設備未設有明顯標示，且冷凍設備未供給勞工防護設備、高壓氣體氣瓶未具防護護蓋。二、泳池管理不符合規定（已完成改善）：未主動及明顯以中英文完整標示水質處理方式及用品名稱、甦醒球無法判別日期或過期。,2019/6/17
72,南方莊園渡假飯店,桃園市中壢區樹籽路8號,03-4202122,無,衛生管理不符合規定（已完成改善）：1.見病媒?跡。2.見部分食材未離地存放及束口。3.盛裝冰杓之容器內部不潔。4.生食處理區未設置刀架貯放刀具。5.洗手區未設置乾手設施。,一、消防管理不符合規定（已完成改善）：1.火警受信總機部份迴路及探測器故障。2.室內排煙設備：連動探測器故障。二、職安管理不符合規定：1.急救人員鄭益昌、小型鍋爐操作人員黃世誠未接受安全衛生在職教育訓練。2.使勞工從事輸班、夜間工作等作業，未有異常工作負荷疾病預防之危害辨識及評估措施。三、泳池管理不符合規定：1.使用人安全注意事項缺少英文標示。2.救生器材缺少救生繩及浮水擔架。,2019/3/21
73,台北諾富特華航桃園機場飯店,桃園市大園區航站南路1-1號,03-3980888,五星,符合,職安管理不符合規定（已完成改善）：1.發電機室柴油未標示（危害性化學品）。2.柴油未置SDS於現場。3.低壓電氣設備未自動檢查。,2019/3/21
74,桃園喜來登酒店,桃園市大園區大觀路777號,03-3851188,四星,符合,符合,2019/3/21
75,趣淘漫旅,臺南市楠西區密枝里密枝102之5號,06-5753333,三星,符合,一、消防管理不符合規定（已完成改善）：1.火警自動警報設備：新總機第2回路斷線、舊總機第10回路故障、應更新火警分區圖。2.自動灑水設備：7樓壓力開關異常。3.排煙設備：地下1樓走廊風量不足、宿舍部分防煙垂壁故障。4.廣播設備：警鈴未遮斷。二、職安管理不符合規定（已完成改善）：1.未設置職安人員文報備。2.未定職安管理計畫及自動檢查計畫。3.一般教育訓練未留存紀錄。4.未報備安全衛生工作守則。5.人因性危害預防、異常工作危害預防、不法侵害危害預防等未有執行紀錄。6.危害性化學品容器未有危害標示及提供安全資料表。7.合梯未有金屬繫材扣?。8.瓦斯桶儲存時未固定。三、泳池管理不符合規定（已完成改善）：1.游泳池使用人安全注意事項及禁止事項缺英文標示。2.自主管理計畫未陳報地方主管機關核備。,2020/12/22
76,耐斯王子大飯店,嘉義市東區忠孝路600號,05-2771999,五星,符合,符合,2020/12/11
77,鈺通大飯店,嘉義市東區華南里6鄰維新路7號,05-2756111,無,符合,職安管理不符合規定（已完成改善）：壓力表未標示最大壓力、柴油安全資料表未更新。,2020/12/11
78,台北華國大飯店,臺北市中山區雙城街21-1號,02-25965111,四星,符合,符合,2020/10/14
79,美麗信花園酒店,臺北市中山區市民大道三段83號,02-87728800,五星,符合,符合,2020/10/14
80,雲品溫泉酒店日月潭,南投縣魚池鄉水社村中正路23號,049-2856788,五星,符合,符合,2020/9/8
81,新竹喜來登大飯店,新竹縣竹北市十興里光明六路東1段265號,03-6206000,無,符合,職安管理不符合規定（已完成改善）：1.使用不合格之合梯作業。2.鍋爐屋噪音部分；依勞工作業環境監測實施辦法規定辦理監測。3.5樓加藥房使用動力及軟管輸送鹽酸部分：依職業安全衛生設施規則第178條規定辦理。,2021/4/8
82,豐邑喜來登大飯店,新竹縣竹北市十興里11鄰光明6路東1段263號,03-5765888,無,符合,符合,2021/4/8
83,新竹老爺大酒店,新竹市東區光復路1段227號,03-5631122,五星,符合,一、職安管理不符合規定（已完成改善）：1.工務間乙炔銅瓶未有護蓋。2.頂樓固定桶攀爬有墜落風險，未有警示標示。二、泳池及健身房管理不符合規定（已完成改善）：1.救生員證照非體育署所核發。2.健身房重訓設備無懸掛使用說明。,2021/4/8
84,新竹國賓大飯店,新竹市東區中華路2段188號,03-5151111,五星,符合,一、職安管理不符合規定（已完成改善）：1.消防設備前堆置雜物。2.工作場所高度2公尺以下，不得有障礙物(需有防護措施)。3.頂樓固定梯需有墜落警告標示。二、泳池及健身房管理不符合規定（已完成改善）：部分救生員證照非體育署所核發。,2021/4/8
85,長榮鳳凰酒店(礁溪),宜蘭縣礁溪鄉健康路77號,03-9109988,無,符合,職安管理不符合規定（已完成改善）：1.發電機房未標示禁止無關人員進入。2.通道使用之電線無防止危害之措施。3.護理人員未留存健康服務執行紀錄。,2021/3/19
86,綠舞國際觀光飯店,宜蘭縣五結鄉五濱路二段457、459號,03-9603808,無,衛生管理不符合規定（已完成改善)：飯店櫃台需準備保險套及水性潤滑劑。,一、經營管理不符合規定（已完成改善）：1.浴室未放置止滑墊。2.菜單標示開瓶費應使用法規自備酒水服務費二、職安管理不符合規定（已完成改善）：1.高溫金屬烹飪設備，未有高溫警示或隔熱設施。2.急救箱之藥品及器材，未有定期檢查紀錄。,2021/3/19
87,麒麟大飯店,宜蘭縣礁溪鄉礁溪路五段116號,03-9888570,無,符合,消防管理不符合規定：1.防火管理人證書逾期。2.109年下半年未辦理自衛消防編組演練。,2021/3/19
88,台北萬豪酒店,臺北市中山區樂群二路199號,02-85029999,五星,符合,符合,2021/1/5
89,台北寒舍艾美酒店,臺北市信義區松仁路38號,02-66228000,無,符合,消防管理不符合規定（已完成改善）：標示設備故障。,2021/1/5
90,國賓大飯店,臺北市中山區中山北路2段63號,02-25511111,無,衛生管理不符合規定（已依規定裁處）：1.冰箱食材未墊高。2.冰箱食材未覆蓋。3.洗滌區風扇不潔。,經營管理不符合規定（已依規定裁處）：營業場所變更未報核准。,2021/1/5
91,國王大飯店,臺北市中山區南京東路1段118號,02-25811111,無,符合,符合,2021/1/6
92,福華大飯店,臺北市大安區仁愛路3段160號,02-27002323,無,符合,符合,2021/1/6
93,陽明山中國麗緻大飯店,臺北市士林區陽明山格致路237號,02-28616661,無,衛生管理不符合規定（已完成改善）：中央空調冷卻水塔清洗紀錄逾期未登錄。,經營管理不符合規定（已依規定裁處）：營業場所變更未報核准。,2021/1/6
